date	category	campaign_id	slice	value
2020-02-17	71	48	10	406
2020-03-27	84	24	8	910
2020-10-26	11	8	4	978
2020-08-20	74	10	6	619
2020-09-30	53	12	2	755
2020-08-01	40	25	5	285
2020-03-10	22	20	8	317
2020-08-12	54	10	3	868
2020-05-03	64	5	9	250
2020-05-03	55	30	0	467
2020-05-08	90	38	6	599
2020-06-20	51	12	2	898
2020-03-12	16	18	7	204
2020-02-28	85	33	2	8
2020-12-16	82	27	5	921
2020-04-11	99	28	7	902
2020-08-21	23	17	10	255
2020-09-29	23	39	6	899
2020-09-06	32	3	7	576
2020-07-30	16	35	2	487
2020-06-23	40	30	7	128
2020-05-26	98	15	7	902
2020-04-16	42	46	3	232
2020-05-17	45	20	9	493
2020-12-19	88	14	3	356
2020-01-23	80	21	3	901
2020-12-04	35	39	1	952
2020-04-28	79	7	3	29
2020-09-16	32	48	9	594
2020-11-04	77	6	8	43
2020-02-26	72	36	4	748
2020-08-27	10	12	5	820
2020-12-22	96	46	2	651
2020-02-21	24	36	0	195
2020-08-09	36	26	4	133
2020-12-30	5	10	5	398
2020-05-01	60	22	1	940
2020-11-25	29	30	4	939
2020-12-06	47	36	3	768
2020-07-15	18	48	3	270
2020-12-15	74	8	2	850
2020-05-01	1	9	4	478
2020-12-12	16	30	4	796
2020-12-12	79	7	4	121
2020-10-02	80	46	9	167
2020-01-17	87	23	1	733
2020-09-19	36	14	4	112
2020-12-10	53	9	4	411
2020-09-30	56	31	3	334
2020-09-25	95	34	4	141
2020-03-12	91	42	1	169
2020-07-31	0	13	5	278
2020-11-28	56	39	8	31
2020-11-21	61	49	2	990
2020-05-13	43	21	2	373
2020-12-12	31	18	2	261
2020-10-19	38	32	0	986
2020-02-25	55	2	5	860
2020-07-10	91	30	2	128
2020-08-19	31	7	5	897
2020-04-22	2	19	7	333
2020-11-27	70	49	3	779
2020-01-04	92	42	2	362
2020-04-11	34	30	10	835
2020-11-07	13	20	5	957
2020-05-19	39	5	5	754
2020-06-10	11	5	3	161
2020-04-19	58	20	2	621
2020-09-30	13	15	10	846
